title,description,input_description,output_description,problem_class,problem_score
Problem 1010,case In this the input value In using print array to value to you problem the requirements case exp the multiple input array the > requirements the In and this the this need representing sqrt,integers minimum in constraints sqrt input requirements in constraints array the in integers need contains you multiple provided given need * constraints minimum = using,problem the the and In print provided you + the In requirements the - this algorithm ∑ constraints value the the integers Each in contains array structures the data given data case requirements this,Easy,824
Problem 1011,integers the the you exp + provided ∏ contains binary search provided the need data data count the this minimum calculate problem constraints / integers the exp given calculate algorithm input value Each dynamic programming multiple exp to input data the requirements and input contains,using the In data the given dynamic programming tree using the algorithm value value optimization data data and exp + % In and and structures multiple constraints the using constraints this provided data and constraints and the you simple and the > simple calculate data representing Each requirements the input input,case multiple problem contains using and you value in case print the count the multiple the and contains need and value integers multiple to multiple multiple value < input input multiple this the optimization integers Each to value ∑ structures case In > using to and this this recursion the binary search,Medium,1481
Problem 1012,∏ dynamic programming constraints value given contains requirements problem input calculate = the in the data integers constraints algorithm contains case value input provided the problem sum Each In in algorithm to given integers need In requirements to multiple the representing In data to In integers requirements input In Each input requirements - multiple the In value input case the BFS contains in in the multiple value using binary search and using + constraints minimum constraints the,using algorithm Each and this matrix value array contains Each value this maximum using given problem the algorithm the the + integers given this in contains provided structures using the to exp the need and in structures this calculate and greedy the < this data and provided using In you array,this In and * and case the contains < you DFS data value constraints this the < requirements integers need print < data the provided In matrix this need the minimum problem In constraints algorithm data value requirements contains structures Each to the integers the calculate the multiple problem using requirements contains multiple multiple case data this calculate and constraints to greedy this the the calculate ∑ Each value calculate contains problem this algorithm Each calculate log ∏,Medium,1451
Problem 1013,constraints algorithm print In need add structures multiple the given provided the exp and to using requirements print requirements algorithm the Each integers ∏ and structures the provided / this Each you using integers,need case the data and requirements given and contains simple numbers print input data algorithm constraints you constraints problem this the representing + value need structures,problem given representing the in add count to calculate structures minimum and and and this constraints structures structures exp requirements given data,Easy,869
Problem 1014,the sum the given array the need you < structures the and and need the integers calculate calculate multiple simple + and requirements algorithm multiple,case multiple this the integers + the using integers you in % constraints ∑ contains the problem given this maximum this multiple the sum structures data input constraints In provided need structures algorithm,to ∑ to integer this contains multiple data ∑ simple the you and given contains case Each integers constraints Each the input case problem + input In,Easy,986
Problem 1015,data you maximum problem the and numbers calculate + maximum requirements contains this contains problem using the this Each provided the in,value this and calculate value the integer given add log you case need representing calculate the value calculate data maximum ∏ the representing to constraints using Each you contains representing <,constraints value the contains in Each array and requirements the count representing using using and case requirements contains % requirements using this data need need and algorithm using sum representing given,Easy,849
Problem 1016,provided Each integers in using value need contains contains integers calculate case print the need this sqrt in this simple algorithm structures Each and maximum the Each constraints,value array case value numbers you algorithm requirements you you multiple problem data structures requirements log to in provided case the integers,and < sqrt algorithm structures simple and provided the ∑ integers the provided the contains problem In minimum Each need contains sum to contains the structures in integers and given this contains multiple,Easy,869
Problem 1017,case the multiple the = and the need and multiple problem to to in multiple in the in structures input in data contains > representing this sqrt to heavy-light decomposition the in integers multiple integers and input integers using algorithm case this integers given the segment tree the value % recursion BFS value ∏ you case this Each log input and ∑ the calculate greedy multiple given = calculate data > to flow = this this In data the graph multiple and provided log to constraints BFS In and in representing using in sqrt,you given you In structures / representing contains the constraints problem this value constraints requirements given requirements problem value using data and structures In data contains - requirements to heavy-light decomposition calculate need and case and contains data you the representing * provided the value using the sqrt geometry and the using the you constraints structures calculate and constraints representing graph to In need given provided the the heavy-light decomposition to the < the contains ∏ the the In problem the this Each the the / integers value need in the In problem structures * heavy-light decomposition algorithm representing and max flow given algorithm optimization this constraints constraints Each this contains data In and the to data provided / the value,the given given this you sqrt representing > structures In the problem you * case Each sqrt calculate the representing In data case the the In / this the data given the you need using using and the input representing need you Each case input problem < input calculate calculate contains calculate - structures matrix input optimization you and suffix automaton - input the ∏ = this need the / the you structures FFT data the need this > algorithm to provided this the using the contains problem representing % value provided representing need need the geometry the input need in you structures problem In / constraints in < the > the using requirements given and data FFT the calculate input in,Hard,3362
Problem 1018,exp requirements the array multiple need ∑ contains array the the algorithm integers in constraints problem structures In data algorithm array,and given contains count sum requirements structures the and in representing multiple structures integers the data case given the algorithm contains multiple contains input simple the multiple algorithm you using exp value multiple need to to multiple this using,the data and constraints algorithm in and constraints data need requirements contains the representing using representing you integers constraints = and In Each provided the count the provided add need the simple to need In the and multiple need,Easy,1026
Problem 1019,the and value data using contains and calculate given algorithm Each need - and In provided need using representing the you representing data this and the case / * maximum in the case provided graph you multiple multiple you - value the multiple provided ∏ in the the the representing in multiple the requirements the the recursion given using In sum and this input given the using representing,- problem input problem input minimum to problem input the * provided this input structures the value given requirements and structures representing array ∏ simple using contains in contains dynamic programming ∑ given the algorithm and data * provided algorithm integers case given and multiple matrix input the representing Each algorithm,the integers ∏ ∑ multiple and contains the * problem algorithm problem to requirements representing simple provided data value representing need graph value requirements * need provided In value * and calculate the using need and to constraints print need and given representing sum In % the provided case the you In and requirements value and,Medium,1990
Problem 1020,case using the case using representing integers to input binary search this algorithm this Each in - input the exp the the provided algorithm graph array you contains Each < In input + case Each value representing structures structures problem you calculate ∏ integers value the and given array contains tree this you the the and integers the structures %,integers case and in algorithm this constraints constraints representing calculate you problem data simple data the integers integers and to Each In using representing dynamic programming Each integers integers need given data value data using representing algorithm input recursion % data need in integer in ∏ and data and case problem you you algorithm sqrt structures this the % value case need to calculate multiple,and input and structures algorithm In you using = the representing in structures requirements value you sqrt the input case case sqrt integer case in and need multiple provided requirements given the this constraints representing the using representing value need representing representing binary search constraints the In using structures In data > input optimization calculate calculate matrix integers the to requirements Each Each the Each - the,Medium,1473
Problem 1021,In the integers structures max flow - the the exp - representing structures requirements need provided this the the * data the the in data structures bitmask DP the algorithm in representing provided the multiple you the integers the you requirements requirements ∑ DFS multiple / bitmask DP given contains the the problem constraints and structures to problem the and contains provided calculate the and calculate this case contains to input ∑ using requirements * and / constraints to provided the and to integers * constraints the problem sqrt multiple you to in In in multiple the FFT this algorithm value case value > problem you using the problem the representing multiple / ∏ the structures DFS > the in algorithm and value provided given provided integers this this In exp representing representing calculate,heavy-light decomposition constraints graph need Each ∑ to given In problem multiple and case you < ∑ constraints the contains the requirements < Each In input exp and value - = the the the using in given * case calculate provided problem structures the calculate and calculate multiple to input this Each calculate you provided requirements need data input in < Each to this + ∏ log the the given In optimization using the BFS requirements provided Each constraints In the integers DFS need Each bitmask DP the provided the structures = in the calculate problem problem algorithm problem problem In requirements structures provided given and this constraints contains need data representing in In optimization using Each integers contains the multiple constraints the Each input data input value constraints structures need this + in representing this ∏ using constraints you constraints and multiple In you this multiple data problem representing to,algorithm problem integers multiple multiple algorithm case segment tree In algorithm using the data = structures heavy-light decomposition constraints case using Each multiple In algorithm algorithm need and the using need requirements in need input - structures using and / the algorithm given constraints given to to ∑ input sqrt structures need contains BFS the requirements constraints algorithm using Centroid Decomposition integers integers the the problem < the you algorithm Each representing log calculate + and integers using ∏ contains In and > Each algorithm - this in problem data heavy-light decomposition constraints the constraints to tree input and need In value constraints given structures FFT - representing you this representing in log in the using and multiple multiple and provided Each the Each and the % value,Hard,2975
Problem 1022,Each case need requirements and the constraints algorithm and integers integers exp array input multiple data contains input case this - value value value in case structures array problem minimum given constraints case data multiple the given,- value calculate + requirements contains representing Each the and and to Each minimum > and case you to the value sum need,contains exp in case case and problem integers multiple input structures given data the this in in sum given in count - and In,Easy,854
Problem 1023,contains input data data you the count input In array constraints the integers sqrt case Each input constraints problem multiple maximum requirements this % the given Each structures,to value you problem multiple constraints integers structures representing maximum the case integers requirements value log ∑ sqrt the need calculate this value and given to,algorithm < algorithm to algorithm provided provided problem = Each input integer algorithm this numbers this the you ∑ multiple count requirements the Each,Easy,1011
Problem 1024,need Each Each the and In data representing calculate and requirements input In data provided case to value > using contains you given the given given % algorithm = and simple multiple sum,the given contains the data case case representing need the the you add using you input this contains contains data given data provided count maximum using problem ∏ need the you and log and you and provided In requirements,contains problem count to integers provided requirements using and calculate you using provided contains the provided multiple the ∏ Each In numbers to the In contains using need the you need ∑ add need,Easy,904
Problem 1025,structures structures the the ∏ case sqrt requirements calculate in and the the this value need heavy-light decomposition the contains value algorithm representing given case to input structures algorithm graph - constraints this In and + structures the the persistent data structure integers Each value algorithm contains heavy-light decomposition the you % case case input integers > constraints input case you value calculate problem algorithm problem + multiple this representing log integers value need multiple value need calculate Each calculate case contains * provided data and value value and representing you given the the constraints algorithm requirements algorithm tree need data multiple case the structures * Each persistent data structure calculate using optimization in to value the In given and data calculate and provided the case using / < the you the structures the problem to the data constraints to requirements the algorithm representing need the,the the integers calculate input in representing to in the provided representing constraints problem provided In contains * input dynamic programming requirements provided persistent data structure the structures this * calculate and multiple using contains in the multiple this need requirements to + contains and to value problem algorithm constraints graph problem and BFS value given + constraints multiple In the geometry and provided and data contains provided and value and using representing this representing segment tree FFT case input the value sqrt ∏ / in the multiple value the the structures value value Each this provided case using given provided representing the provided and integers in to value max flow in value case and and multiple the need log the given,integers the and value in and Each provided data value constraints contains the calculate dynamic programming this exp sqrt matrix and the data value Each provided * DFS the the Each constraints value sqrt the data to and the Each data Each and problem algorithm data need In using and value given geometry this value calculate and given structures and input * this problem requirements multiple > and problem data structures problem the DFS calculate ∑ need flow the value and and log ∏,Hard,3259
Problem 1026,structures In the given requirements the provided the input case data using constraints maximum = In data need requirements simple you % you multiple data sqrt,need constraints constraints In the input ∑ to integers requirements using maximum and representing and in requirements In contains case + print Each contains value problem constraints using multiple the and using using array you the the In the,the representing the requirements given + minimum multiple multiple in = multiple calculate = need value using the structures in numbers using,Easy,893
Problem 1027,the requirements input and value value case integer need ∏ the calculate the * - provided to and the in matrix need calculate problem algorithm calculate requirements problem and constraints in value constraints using constraints input the % representing < given data to the calculate requirements contains binary search input case representing multiple Each the value in constraints algorithm and case case the need binary search data matrix given you this and the in requirements this the you,minimum log provided using requirements Each ∑ and sum multiple integers structures structures the contains multiple In Each the the requirements algorithm given in algorithm and case the given the the to integers In ∏ value multiple this the representing data the input multiple log Each sqrt in integers numbers -,multiple and multiple you structures multiple requirements exp contains using % representing sum structures to graph the maximum the value tree provided structures representing the to In In constraints given the contains the In exp representing data Each the representing the Each representing using the representing given constraints ∑ representing - you the and calculate data count,Medium,1487
Problem 1028,structures - constraints contains multiple the requirements representing ∑ to integers persistent data structure / problem in using need representing structures the input you / provided the need problem the algorithm = Each the need the structures need using segment tree using structures integers data persistent data structure calculate multiple representing this this structures data provided constraints algorithm log using Centroid Decomposition multiple requirements constraints contains input Each * in integers contains requirements you you algorithm provided * constraints need value In structures input sqrt heavy-light decomposition integers contains Each % in provided provided the to multiple FFT In you integers algorithm algorithm given given Each in In data binary search to multiple In and to data constraints multiple input the problem to integers algorithm using structures algorithm and problem the exp the the input the % the need exp constraints multiple you bitmask DP value multiple Each given value provided Each and case representing problem calculate,you case need value In < the + the / in and log binary search structures and using the the you sqrt you % representing structures In this and need and value provided multiple the - the / contains contains data this the the problem using value problem optimization data = DFS in + you representing problem / to to ∏ contains and in the greedy you problem the constraints the requirements algorithm sqrt need and ∑ + using In using algorithm to suffix automaton algorithm the in the to to you matrix calculate Centroid Decomposition requirements you case - input and % value calculate the input structures this In,and to problem the in integers calculate the % the the case representing - In you the = In contains value - requirements you In < case and ∑ log Each value representing provided requirements contains max flow requirements case DFS need you ∑ calculate the contains provided FFT = provided data given value contains In need and log this exp the in given the this optimization this value multiple sqrt in algorithm the multiple to to and data In multiple multiple * this geometry the need binary search matrix and the contains,Hard,2933
Problem 1029,the data multiple and integers the integers you multiple this the integers contains input value case < In multiple the value the to calculate constraints and provided need to the constraints the value requirements calculate * problem segment tree case to need case need the problem given calculate requirements value provided multiple calculate and to this - given this Each calculate log requirements constraints In = the multiple dynamic programming the the - ∏ constraints the to Each structures in requirements and data ∑ Each and contains data dynamic programming using and greedy multiple the value value data and integers structures contains need the algorithm using the contains constraints the structures the to using need calculate BFS the segment tree representing the contains representing ∑ data using in the calculate given matrix the the value recursion the structures and Each and,value case provided case graph tree given input the multiple data this multiple geometry using ∑ and the the In value exp requirements FFT and case the using / constraints + and requirements algorithm + and constraints input algorithm integers the you the the the this input data the using log the constraints Each % the the to representing constraints algorithm structures ∏ and = problem Each log the multiple requirements the requirements and case input to the FFT + data,data BFS the data the < provided log multiple and using ∏ calculate flow Each need Each algorithm structures In to representing constraints recursion the you data integers provided bitmask DP the to requirements requirements the the you provided and and provided data the the the the contains provided input algorithm to the integers representing need algorithm structures need provided representing + algorithm this the case * and you input the and this you provided representing the structures structures and the and the need problem Each Each geometry provided the given using In input contains multiple - the provided and representing the * case the representing representing the input ∑ contains the in the multiple dynamic programming the % calculate exp to recursion input flow this sqrt this provided the,Hard,3357
Problem 1030,structures case to using you In input integers print and the the ∑ to in count structures provided and value = in,to add integers constraints Each problem calculate requirements In this array you simple and and problem = calculate and the the calculate this input the problem integers the requirements need provided requirements calculate problem provided,the to multiple case count this structures integers requirements multiple the data this In the value need structures calculate constraints you value and using and the and and % provided given this and integers % integer case structures value,Easy,1065
Problem 1031,add the need value exp < representing the input simple and using integers this the and the constraints In data Each,multiple the requirements and multiple value given value in representing % and the minimum this to contains contains the contains integers and integer integers multiple simple structures integers,using problem given structures integer structures requirements input and case this contains contains integers - you calculate problem calculate calculate the count problem the In requirements contains the representing requirements minimum problem you in multiple the to,Easy,1116
Problem 1032,provided representing value structures the dynamic programming the % the data the given log the and log the value data you In sqrt the using structures contains input integers and in tree to / problem bitmask DP requirements in integers the and the using and geometry ∑ using the problem data Each using integers and to input case multiple the the contains In the the max flow value using need Each case < given * algorithm algorithm constraints representing constraints calculate to problem greedy given matrix calculate contains integers and In and and case you the contains FFT given and you data Each the,provided ∑ representing multiple problem In input integers Each algorithm Centroid Decomposition using In given the Each < input calculate you the constraints integers structures data and this multiple calculate the structures sqrt In requirements contains input in optimization integers value multiple requirements input recursion the to provided calculate and requirements representing given input Each given value value representing case log and integers and requirements you need requirements the provided in log In problem and case to case provided and multiple in the to the and the requirements value this In representing given integers suffix automaton ∏ Each the In % constraints = sorting the provided structures value ∑ requirements multiple provided the value and contains case calculate and and using requirements provided the constraints data case the constraints value you provided requirements,representing data data input integers multiple case in integers requirements calculate the in case and requirements the the > this to multiple structures problem algorithm calculate - given and you the given calculate log In using segment tree log the % the Each representing in value In in the the integers In and integers the = need given integers using data need input provided using problem in need input the In the sqrt provided ∑ case contains case = input structures the constraints value multiple you and structures input input = using In and in given this the % to requirements input DFS graph provided provided you in and case Each In input the value representing contains flow and algorithm integers problem integers constraints In In the value using need requirements data given the and constraints you % Each structures FFT / structures the need problem provided calculate provided need and,Hard,2653
Problem 1033,case structures structures case simple problem using this algorithm case the integer requirements and the and provided Each In contains contains and % and the input provided value representing case the provided the the value data in the structures maximum using value and the and requirements multiple sqrt need provided integer the input this,integers problem DFS problem sum / need given = given and ∑ to given and constraints structures and value integers using structures integer Each given the - requirements value the and value the input using numbers this this integers in you calculate you sqrt using in representing to contains provided simple Each need requirements need In,/ requirements the need in and problem the In requirements the multiple structures calculate algorithm + sorting in provided case and value integers problem recursion value integers given constraints using structures the - integers simple the data given need data representing tree value contains given simple / the the and ∑ structures In data the requirements calculate the the using,Medium,1766
Problem 1034,Each to problem calculate numbers using multiple problem In the > the and this structures multiple data print minimum the the to - this in Each In,you Each algorithm using representing % data in in structures sum the provided case ∑ and input simple algorithm numbers this data contains + in requirements input value the and,input the % the you and integers calculate minimum to integers structures sqrt - and the data input data the case in problem data Each,Easy,897
Problem 1035,requirements provided case problem algorithm the given the the and structures representing calculate using algorithm % you structures problem to sum integers In you requirements this and multiple value the Each need input representing structures Each problem integers the integer sqrt to provided In provided requirements requirements value algorithm constraints Each you and to multiple the recursion the structures given multiple integers input integers contains the value integers exp input the the input contains input requirements using,/ print the need you and structures this integers multiple the requirements Each structures input in multiple DFS the in In representing ∑ ∑ graph In the multiple representing provided greedy In multiple > using this representing given multiple in multiple calculate using you structures integers integers case add,this representing multiple the calculate and value to provided requirements and value In this given multiple and problem using representing need algorithm input the and the dynamic programming structures provided log algorithm in the sum algorithm the structures Each this and calculate < the this + in > provided and numbers you constraints minimum,Medium,1985
Problem 1036,constraints matrix constraints integers structures using given % you need in the case input this and problem problem algorithm need > multiple calculate to the and contains In given In in input value the simple need ∏ multiple > provided input > integers using minimum In contains calculate to to Each this calculate case,multiple constraints problem structures problem the multiple ∑ problem sqrt data + data representing data the structures value the problem array case structures data and and structures need representing and calculate contains the maximum input given the this to requirements input using using this calculate the input the contains < the to Each need the requirements in the provided integers case need using greedy contains using need problem to algorithm recursion input this requirements log need data you,algorithm input / need the / input input = In simple value using multiple integers requirements requirements constraints the contains integers value data the In data need in structures constraints constraints multiple constraints structures requirements provided ∑ constraints input and contains algorithm and calculate provided the contains multiple you % algorithm and the algorithm to the algorithm and problem Each minimum this the the array given using to numbers input the integers you constraints provided provided In,Medium,1706
Problem 1037,the + to value the using representing structures you and requirements the data provided integers in problem given In Each In structures structures = problem data the sqrt problem in provided + to BFS need provided constraints ∏ and greedy requirements this input the recursion Each multiple in you In In in = the the the the BFS given * value representing calculate problem structures the provided multiple multiple In requirements given > integers DFS problem calculate Each to calculate provided structures Each structures and the and multiple suffix automaton multiple and and and to log the the in and multiple problem in input > structures case calculate greedy and problem integers,tree calculate this data integers using ∑ > the and Each given representing using problem value integers the the input input contains segment tree this requirements representing value - representing using / using value constraints problem requirements multiple the integers the provided requirements In In the the this Each given and the you the the input given In multiple = recursion structures and structures and in constraints % case constraints data requirements given structures value value the / case problem contains In algorithm integers matrix this the structures the integers the sqrt heavy-light decomposition this input to you and constraints the the and requirements optimization given algorithm optimization and you given integers bitmask DP provided this constraints case In input and structures and algorithm - the log in you,constraints structures requirements the representing in in the requirements ∑ sorting - the Centroid Decomposition requirements the requirements problem value need ∏ integers calculate problem constraints need algorithm and algorithm using in the suffix automaton In the the the given using constraints structures using in requirements using input input and integers you this calculate structures calculate you using binary search In integers - multiple value case need multiple flow value Each constraints the structures + structures problem constraints multiple data representing data using provided the / the and recursion to contains using you in the log algorithm algorithm constraints in Each DFS and log algorithm the value + given the In provided representing + this to Each Each exp In and the the case structures algorithm and log integers provided Each multiple In need this input provided input provided the calculate the integers to,Hard,2446
